USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13063040514,4755007,123751,1.836,0.048,33.5377326,-84.4263347
GA,13063040515,5924516,87167,2.287,0.034,33.5313286,-84.4079617
GA,13063040516,4409049,21795,1.702,0.008,33.5308096,-84.3873528
GA,13063040518,3534637,2618,1.365,0.001,33.5103898,-84.3912997
GA,13063040519,1581597,18939,0.611,0.007,33.592479,-84.4153853
GA,13063040520,2143521,23483,0.828,0.009,33.5980823,-84.4143113
GA,13063040521,2626901,0,1.014,0,33.5697628,-84.3905458
GA,13063040522,5002000,16393,1.931,0.006,33.5873622,-84.4006867
GA,13063040523,2700825,1216,1.043,0,33.5599525,-84.4092722
GA,13063040524,5367530,25508,2.072,0.01,33.5526754,-84.3915052
GA,13063040525,2319325,21070,0.895,0.008,33.4980413,-84.3954969
GA,13063040526,5055011,16061,1.952,0.006,33.5080964,-84.4128313
GA,13063040606,24197568,766682,9.343,0.296,33.4677661,-84.3120126
GA,13063040608,42856172,2173537,16.547,0.839,33.4068671,-84.3719708
GA,13063040609,9259009,100823,3.575,0.039,33.5439713,-84.3291747
GA,13063040611,6156927,29072,2.377,0.011,33.552752,-84.3634253
GA,13063040612,7073805,19576,2.731,0.008,33.5209285,-84.3626158
GA,13063040613,13504737,165575,5.214,0.064,33.5099245,-84.3267278
